step,position,health_level,resource_level,air_pollution,ground_pollution
8,"(2, 1)",100.0,100.0,0.0,0.0
8,"(2, 3)",100.0,100.0,0.0,0.0
8,"(2, 4)",100.0,100.0,0.0,0.0
8,"(2, 9)",100.0,100.0,0.0,0.0
8,"(3, 4)",100.0,100.0,0.0,0.0
8,"(3, 5)",100.0,100.0,0.0,0.0
8,"(4, 6)",100.0,100.0,0.0,0.0
8,"(4, 7)",100.0,100.0,0.0,0.0
8,"(5, 2)",100.0,100.0,0.0,0.0
8,"(5, 3)",100.0,100.0,0.0,0.0
8,"(5, 7)",100.0,100.0,0.0,0.0
8,"(6, 0)",100.0,100.0,0.0,0.0
8,"(6, 4)",100.0,100.0,0.0,0.0
8,"(6, 9)",100.0,100.0,0.0,0.0
8,"(8, 0)",100.0,100.0,0.0,0.0
8,"(8, 2)",100.0,100.0,0.0,0.0
8,"(8, 3)",100.0,100.0,0.0,0.0
8,"(8, 4)",100.0,100.0,0.0,0.0
8,"(8, 5)",100.0,100.0,0.0,0.0
8,"(9, 3)",100.0,100.0,0.0,0.0
8,"(9, 4)",100.0,100.0,0.0,0.0
8,"(9, 6)",100.0,100.0,0.0,0.0
9,"(0, 0)",100.0,100.0,0.0,0.0
9,"(0, 3)",100.0,100.0,0.0,0.0
9,"(0, 4)",100.0,100.0,0.0,0.0
9,"(0, 6)",100.0,100.0,0.0,0.0
9,"(0, 9)",100.0,100.0,0.0,0.0
9,"(1, 6)",100.0,100.0,0.0,0.0
9,"(1, 7)",100.0,100.0,0.0,0.0
9,"(2, 1)",100.0,100.0,0.0,0.0
9,"(2, 3)",100.0,100.0,0.0,0.0
9,"(2, 4)",100.0,100.0,0.0,0.0
9,"(2, 9)",100.0,100.0,0.0,0.0
9,"(3, 4)",100.0,100.0,0.0,0.0
9,"(3, 5)",100.0,100.0,0.0,0.0
9,"(4, 6)",100.0,100.0,0.0,0.0
9,"(4, 7)",100.0,100.0,0.0,0.0
9,"(5, 2)",100.0,100.0,0.0,0.0
9,"(5, 3)",100.0,100.0,0.0,0.0
9,"(5, 7)",100.0,100.0,0.0,0.0
9,"(6, 0)",100.0,100.0,0.0,0.0
9,"(6, 4)",100.0,100.0,0.0,0.0
9,"(6, 9)",100.0,100.0,0.0,0.0
9,"(8, 0)",100.0,100.0,0.0,0.0
9,"(8, 2)",100.0,100.0,0.0,0.0
9,"(8, 3)",100.0,100.0,0.0,0.0
9,"(8, 4)",100.0,100.0,0.0,0.0
9,"(8, 5)",100.0,100.0,0.0,0.0
9,"(9, 3)",100.0,100.0,0.0,0.0
9,"(9, 4)",100.0,100.0,0.0,0.0
9,"(9, 6)",100.0,100.0,0.0,0.0
10,"(0, 0)",100.0,100.0,0.0,0.0
10,"(0, 3)",100.0,100.0,0.0,0.0
10,"(0, 4)",100.0,100.0,0.0,0.0
10,"(0, 6)",100.0,100.0,0.0,0.0
10,"(0, 9)",100.0,100.0,0.0,0.0
10,"(1, 6)",100.0,100.0,0.0,0.0
10,"(1, 7)",100.0,100.0,0.0,0.0
10,"(2, 1)",100.0,100.0,0.0,0.0
10,"(2, 3)",100.0,100.0,0.0,0.0
10,"(2, 4)",100.0,100.0,0.0,0.0
10,"(2, 9)",100.0,100.0,0.0,0.0
10,"(3, 4)",100.0,100.0,0.0,0.0
10,"(3, 5)",100.0,100.0,0.0,0.0
